,date,event_type,description
0,2022-06-01,food,🥞 2081 calories (279C/104P/61F)
1,2022-06-02,food,🥞 2293 calories (308C/146P/53F)
2,2022-06-03,food,🥞 2108 calories (282C/128P/52F)
3,2022-06-04,food,🥞 2658 calories (289C/182P/86F)
4,2022-06-05,food,🥞 2334 calories (260C/148P/78F)
5,2022-06-06,food,🥞 2468 calories (288C/185P/64F)
6,2022-06-07,food,🥞 2337 calories (249C/162P/77F)
7,2022-06-08,food,🥞 2336 calories (284C/147P/68F)
8,2022-06-09,food,🥞 2301 calories (326C/148P/45F)
9,2022-06-10,food,🥞 2475 calories (305C/154P/71F)
10,2022-06-11,food,🥞 2287 calories (256C/138P/79F)
11,2022-06-12,food,🥞 2434 calories (319C/168P/54F)
12,2022-06-13,food,🥞 2776 calories (362C/125P/92F)
13,2022-06-14,food,🥞 2149 calories (191C/164P/81F)
14,2022-06-15,food,🥞 2414 calories (282C/137P/82F)
15,2022-06-16,food,🥞 2427 calories (290C/139P/79F)
16,2022-06-17,food,🥞 2183 calories (269C/144P/59F)
17,2022-06-18,food,🥞 2283 calories (238C/200P/59F)
18,2022-06-19,food,🥞 2292 calories (291C/147P/60F)
19,2022-06-20,food,🥞 2346 calories (297C/177P/50F)
20,2022-06-21,food,🥞 2405 calories (295C/133P/77F)
21,2022-06-22,food,🥞 2209 calories (232C/192P/57F)
22,2022-06-23,food,🥞 2400 calories (267C/198P/60F)
23,2022-06-24,food,🥞 2349 calories (266C/166P/69F)
24,2022-06-25,food,🥞 2644 calories (327C/163P/76F)
25,2022-06-26,food,🥞 2801 calories (242C/249P/93F)
26,2022-06-27,food,🥞 2566 calories (341C/179P/54F)
27,2022-06-28,food,🥞 2838 calories (346C/179P/82F)
28,2022-06-29,food,🥞 2644 calories (226C/183P/112F)
29,2022-06-30,food,🥞 2814 calories (395C/133P/78F)
30,2022-07-01,food,🥞 2915 calories (268C/220P/107F)
31,2022-07-02,food,🥞 2741 calories (328C/175P/81F)
32,2022-07-03,food,🥞 2723 calories (309C/167P/91F)
